Year,RI,RIC,RG,RG2,RGCDU2,RGC,RBB
1841,36.7,38,26.6,24.2,24,34.4,32.9
1842,24.2,24.2,18.8,17.1,15.8,22.6,22.7
1843,10.7,10.9,8.2,7.5,6.4,9.2,8.9
1844,15,15.1,11.8,10.7,9,12.9,13.2
1845,40.1,39.5,29.8,27.1,26.8,38.4,37.3
1846,61.5,61.6,43.8,39.9,39.4,56.5,54.6
1847,98.5,99.8,58,52.8,54.2,77.7,84
1848,124.7,125,85.8,78.2,81.2,116.3,113.8
1849,96.1,109.5,83.7,76.2,82.9,118.7,106
1850,66.5,75.8,55,50.1,54,77.3,76.2
1851,64.2,73.2,58.1,52.9,58.7,84.1,76.8
1852,54.1,61.6,49.8,45.4,51,73,65.8
1853,39,44.5,35.6,32.4,36.6,52.5,49.4
1854,20.5,23.4,17.3,15.8,17.9,25.7,23.7
1855,6.7,7.6,4.5,4.1,4.6,6.6,9.2
1856,4.3,4.9,3.1,2.8,3.1,4.4,5.8
1857,22.8,26,17.4,15.9,18,25.8,31.6
1858,55,62.6,44.4,40.4,43.8,62.8,62.9
1859,93.9,107,75.6,68.9,79.4,113.5,106.2
1860,95.9,109.3,85.6,78,89.5,128.3,119
1861,77.2,88,70.7,64.4,75.1,105.4,97
1862,59,67.3,50.5,46,53.1,74.6,69
1863,44,50.1,40.9,37.3,43.4,60.9,59.4
1864,47,53.5,34.5,31.4,36.2,51,52.5
1865,30.4,34.7,22.6,20.6,22.7,32.5,32
1866,16.2,18.4,13.7,12.5,13.9,20,21.1
1867,7.3,8.3,6.2,5.6,6.1,8.9,9.8
1868,37.6,37.7,28.9,26.3,30,42.3,41.4
1869,74.1,74.2,62.3,56.8,64.4,90.9,84.7
1870,139.1,139.2,96.2,87.6,99.9,140.4,134.7
1871,111.1,111.2,86.9,79.2,84.7,119.7,123.1
1872,101.4,101.5,80.1,73,82.1,114.3,104.3
1873,66,66.1,51.7,47.1,50.4,71.8,72
1874,44.6,44.7,35,31.9,32.7,47.1,47.9
1875,17,17,15.5,14.1,14.4,21.2,22
1876,11.3,11.3,9.1,8.3,9,12.8,14.2
1877,12.4,12.4,8.5,7.7,8.2,11.6,11.9
1878,3.4,3.4,2.7,2.5,2.7,3.8,5
1879,6,6,4.4,4,4.4,6.2,9.2
1880,32.2,32.2,24.8,22.6,24.7,33.9,32.5
1881,54.3,54.3,45.2,41.2,44.9,61.1,55.6
1882,59.4,59.4,47.9,43.6,47.9,63.9,57.5
1883,63.7,63.7,54.7,49.8,54.5,71.9,63.9
1884,63.5,63.5,61.7,56.2,62,80.8,70.3
1885,51.8,51.8,47.3,43.1,47.4,61.1,55.8
1886,25.5,25.4,22.6,20.6,22.3,28.9,29
1887,13.1,13.1,12.7,11.6,12.5,15.9,16.3
1888,6.7,6.7,7.6,6.9,7.8,9.8,9.4
1889,6.2,6.2,5.8,5.3,5.6,6.9,7.3
1890,7.1,7.1,7.8,7.1,7.5,9.3,8.3
1891,35.7,35.7,38.9,35.4,38,46.6,42.9
1892,73,73,68.3,62.2,66.3,81.5,74.5
1893,85.2,85.2,87.9,80.1,84.8,102.4,93.1
1894,78,78,88,80.2,81.9,95.3,85.7
1895,63.9,64,69.2,63,64,74.6,66.1
1896,41.7,41.6,39.7,36.2,37.6,43.6,41.4
1897,26.2,26.3,30.6,27.9,29,33.1,31.5
1898,26.7,26.6,26,23.7,24.3,27.6,26.2
1899,12.1,12.1,12.3,11.2,11.7,13.2,13.2
1900,9.4,9.4,9.1,8.3,8.6,9.7,10.5
1901,2.7,2.8,2.5,2.3,2.3,2.6,3.3
1902,5.1,5.1,3.8,3.5,3.5,3.8,4.1
1903,24.4,24.5,24.1,22,22.4,24.3,22.2
1904,42.1,42.1,45.3,41.3,41.7,44.8,45.3
1905,63.3,63.3,61,55.6,55.9,60.3,54.6
1906,54.1,54.1,56.2,51.2,51.3,54.9,54.2
1907,61.7,61.7,61.4,55.9,56.3,59.9,57.4
1908,48.5,48.5,53.1,48.4,49.3,52.4,49.4
1909,43.9,43.9,46.4,42.3,42.5,44.9,42.2
1910,18.5,18.5,21.5,19.6,19.1,20.1,20.6
1911,5.7,5.7,8.5,7.7,7.3,7.6,7.9
1912,3.6,3.6,3.6,3.3,3.3,3.5,3.8
1913,1.4,1.4,1.6,1.5,1.3,1.3,1.6
1914,9.6,9.7,12.4,11.3,10.8,11.2,11.2
1915,47.4,47.4,50.5,46,45,46.4,42.3
1916,57,57,67.1,61.1,58.6,60.6,58.2
1917,104.2,104.2,110.1,100.3,102.4,104.6,95.4
1918,80.8,80.8,89.2,81.3,82.3,83.9,79.2
1919,63.5,63.4,71.6,65.2,66.2,67.9,65.8
1920,37.6,37.6,43.5,39.6,39.5,40.4,39.4
1921,26.1,26.1,28.7,26.1,26.6,27.2,26.6
1922,14.2,14.2,15.8,14.4,14.5,14.7,15.1
1923,5.8,5.8,6.9,6.3,6.3,6.4,7
1924,16.7,16.7,18.2,16.6,16.8,17,16.6
1925,44.4,44.4,51.2,46.6,46.8,47.1,46.4
1926,63.9,63.9,70.8,64.5,64.4,65.5,63.6
1927,68.8,68.8,77.6,70.7,70.5,71.3,71.8
1928,77.8,77.8,82.3,75,74.7,75.1,73
1929,64.9,64.9,74.4,67.8,67.5,66.7,65.1
1930,35.6,35.6,44.2,40.3,40.3,39.8,39.9
1931,21.1,21.1,26,23.7,23.8,23.6,24.6
1932,11.1,11.2,13.5,12.3,12.5,12.4,13.7
1933,5.5,5.5,5.9,5.4,5.5,5.5,6.8
1934,8.7,8.8,10.4,9.5,9.7,9.6,10.5
1935,36.1,36.1,42.8,39,39.1,38.6,39.9
1936,79.7,79.7,88.8,80.9,80.6,79.4,82
1937,114.4,114.4,120.6,109.9,109.1,107.5,113.2
1938,109.6,109.6,113.6,103.5,102.8,101.3,104.4
1939,88.8,88.8,97.3,88.6,88.2,86.8,93.6
1940,67.8,67.8,71.7,65.3,65,64.1,65.5
1941,47.5,47.5,49.9,45.5,45.4,44.7,44.7
1942,30.4,30.5,32.8,29.9,30,29.5,30.6
1943,16.3,16.3,15.5,14.1,14.4,14.2,14.7
1944,9.7,9.7,10.7,9.7,9.9,9.8,10
1945,33.2,33.2,37.3,34,34,33.5,33.5
1946,92.6,92.6,95.3,86.8,86.3,85,83.2
1947,151.6,128.8,144.9,132,131,129,122.4
1948,136.3,115.8,127.5,116.1,115.3,113.6,112.8
1949,134.7,114.4,129.3,117.8,116.9,115.2,112.4
1950,83.9,71.3,76,69.2,69.1,68,67.9
1951,69.4,59,58.3,53.1,53,52.2,51.5
1952,31.5,27,29.6,27,27.1,26.7,29.4
1953,13.9,12.1,13.6,12.4,12.5,12.3,13.7
1954,4.4,4,4.4,4,4.1,4.1,6.1
1955,38,32.5,38.1,34.7,34.7,34.2,34.9
1956,141.7,120.4,126.1,114.9,114.1,112.4,113
1957,190.2,161.6,165.9,151.1,150,147.7,147.7
1958,184.8,157,175.1,159.5,158.2,155.8,156.5
1959,159,135.1,149.5,136.2,135.2,133.2,131.3
1960,112.3,95.4,103.8,94.6,94,92.6,95.8
1961,53.9,45.8,49.1,44.7,44.8,44.1,47.4
1962,37.5,32,31.4,28.6,28.8,28.4,30.7
1963,27.9,23.9,24.5,22.3,22.5,22.1,23.8
1964,10.2,9,10.2,9.3,9.5,9.3,10.7
1965,15.1,13.2,14.6,13.3,13.5,13.3,14.6
1966,47,40.1,43.8,39.9,39.5,38.9,40
1967,93.8,79.7,95.8,87.3,86.3,85,85.5
1968,105.9,90,98.2,89.5,88.6,87.2,86.2
1969,105.5,89.6,96,87.5,87,85.7,87.9
1970,104.5,88.8,108.5,98.8,98.5,97,97.1
1971,66.6,56.6,73.5,67,66.8,65.8,66.3
1972,68.9,58.6,72,65.6,65.8,64.8,64.4
1973,38,32.5,39.3,35.8,36,35.4,35.6
1974,34.5,29.5,34,31,31.2,30.8,32.5
1975,15.5,13.5,15.1,13.8,14,13.8,14.3
1976,12.6,11,13.5,12.3,12.7,12.5,13.1
1977,27.5,23.6,0,0,NaN,NaN,27.9
1978,92.5,78.6,0,0,NaN,NaN,89
1979,155.4,132.1,0,0,NaN,NaN,137.2
1980,154.6,131.3,0,0,NaN,NaN,126.9
