Year,NT,Flow,Fmed,Fup,GSNlow,GSNmed,GSNup,S1,G,S2
1639,10,0.636,0.851,0.965,15.4271434,25.45763883,31.60285047,1.017594747,1.679219468,2.084565742
1642,168,0.752,0.8,0.843,20.57945945,22.89043548,25.04740313,1.357448316,1.509883346,1.65215978
1645,167,0.533,0.59,0.647,11.38439817,13.55828434,15.88892958,0.750929934,0.894322336,1.048054773
1648,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1651,20,0.039,0.123,0.267,0.126756547,0.914062872,3.466878702,0.008361029,0.060292794,0.228679896
1654,355,0.068,0.087,0.109,0.329803004,0.503862912,0.742528032,0.021754242,0.033235463,0.048978129
1657,52,0.234,0.329,0.437,2.763061504,4.964965349,8.090350722,0.182255185,0.32749567,0.533650215
1660,501,0.114,0.131,0.15,0.802076185,1.018699061,1.285926786,0.052906004,0.067194735,0.084821429
1663,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1666,1,0.223,0.706,0.974,2.543452561,18.46219625,32.11150668,0.167769489,1.21779084,2.118117377
1669,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1672,459,0.086,0.101,0.121,0.493942748,0.651286446,0.888648709,0.032581116,0.042959714,0.058616442
1675,196,0.197,0.239,0.287,2.055044291,2.865389513,3.925510468,0.135553435,0.189004875,0.258931853
1678,415,0.057,0.071,0.089,0.2434692,0.355225093,0.523950295,0.01605955,0.023431116,0.034560453
1681,738,0.034,0.039,0.047,0.10011128,0.126756547,0.174722,0.006603472,0.008361029,0.011524894
1684,264,0.235,0.272,0.312,2.78340242,3.579297461,4.531950724,0.183596898,0.236095186,0.298933453
1687,432,0.08,0.096,0.116,0.436168256,0.596823339,0.826431798,0.028770234,0.039367255,0.054512533
1690,362,0.022,0.032,0.047,0.047348507,0.090198069,0.174722,0.00312317,0.005949584,0.011524894
1693,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1696,311,0.006,0.013,0.025,0.005067099,0.019156751,0.058992404,0.000334233,0.001263605,0.003891217
1699,198,0.028,0.046,0.072,0.071688764,0.168376992,0.363874123,0.004728686,0.011106369,0.024001618
1702,752,0.15,0.161,0.174,1.285926786,1.452378409,1.659907872,0.084821429,0.095800797,0.109489715
1705,880,0.364,0.375,0.387,5.907907096,6.218319863,6.564507324,0.389693352,0.410168588,0.43300357
1708,903,0.268,0.278,0.288,3.489242255,3.716176446,3.949065675,0.230155026,0.245123905,0.260485586
1711,257,0.013,0.023,0.04,0.019156751,0.051110621,0.132398316,0.001263605,0.003371324,0.008733168
1714,631,0.185,0.201,0.219,1.844482972,2.127337992,2.465489486,0.121664532,0.140322023,0.162626942
